name, type, url
Atlanta Regional Commission, client, https://atlantaregional.org/
Enterprise Community Partners, client, https://www.enterprisecommunity.org/
Atlanta Volunteer Lawyers Foundation, client, https://avlf.org/
Neighborhood Nexus, client, https://www.neighborhoodnexus.org/
Federal Reserve Bank of Atlanta, partner, https://www.frbatlanta.org/
Clayton County, client, https://www.claytoncountyga.gov/
Montgomery County, client, https://www.montgomerycountymd.gov/
Bloomberg Associates, client, https://associates.bloomberg.org/
City of Lisbon, partner, https://www.lisboa.pt/
City of Bratislava, partner, https://www.bratislava.sk/
City of Tampa, client, https://www.tampagov.net/
Emory University, partner, https://www.emory.edu/
Georgia Tech, partner, https://www.gatech.edu/